route_id,forecast_timestamp,forecast_volume_m3,vehicles_needed,utilization_rate,priority,call_recommended,lead_time_minutes,call_by_timestamp,estimated_total_cost,potential_savings,model_confidence
10.0,2025-05-30 11:00:00,145.47,2,0.818,HIGH,True,90,2025-05-30 09:30:00,15000,7500,0.85
35.0,2025-05-30 11:00:00,77.59,1,0.97,HIGH,True,90,2025-05-30 09:30:00,7500,7500,0.85
37.0,2025-05-30 11:00:00,148.84,2,0.861,HIGH,True,90,2025-05-30 09:30:00,15000,7500,0.85
89.0,2025-05-30 11:00:00,73.22,1,0.915,HIGH,True,90,2025-05-30 09:30:00,7500,7500,0.85
105.0,2025-05-30 11:00:00,145.56,2,0.819,HIGH,True,90,2025-05-30 09:30:00,15000,7500,0.85
109.0,2025-05-30 11:00:00,152.57,2,0.907,HIGH,True,90,2025-05-30 09:30:00,15000,7500,0.85
127.0,2025-05-30 11:00:00,156.66,2,0.958,HIGH,True,90,2025-05-30 09:30:00,15000,7500,0.85
133.0,2025-05-30 11:00:00,74.81,1,0.935,HIGH,True,90,2025-05-30 09:30:00,7500,7500,0.85
151.0,2025-05-30 11:00:00,156.55,2,0.957,HIGH,True,90,2025-05-30 09:30:00,15000,7500,0.85
185.0,2025-05-30 11:00:00,73.18,1,0.915,HIGH,True,90,2025-05-30 09:30:00,7500,7500,0.85
187.0,2025-05-30 11:00:00,74.45,1,0.931,HIGH,True,90,2025-05-30 09:30:00,7500,7500,0.85
190.0,2025-05-30 11:00:00,149.84,2,0.873,HIGH,True,90,2025-05-30 09:30:00,15000,7500,0.85
205.0,2025-05-30 11:00:00,151.18,2,0.89,HIGH,True,90,2025-05-30 09:30:00,15000,7500,0.85
209.0,2025-05-30 11:00:00,73.69,1,0.921,HIGH,True,90,2025-05-30 09:30:00,7500,7500,0.85
216.0,2025-05-30 11:00:00,75.37,1,0.942,HIGH,True,90,2025-05-30 09:30:00,7500,7500,0.85
219.0,2025-05-30 11:00:00,153.93,2,0.924,HIGH,True,90,2025-05-30 09:30:00,15000,7500,0.85
223.0,2025-05-30 11:00:00,150.66,2,0.883,HIGH,True,90,2025-05-30 09:30:00,15000,7500,0.85
228.0,2025-05-30 11:00:00,156.3,2,0.954,HIGH,True,90,2025-05-30 09:30:00,15000,7500,0.85
230.0,2025-05-30 11:00:00,75.72,1,0.946,HIGH,True,90,2025-05-30 09:30:00,7500,7500,0.85
240.0,2025-05-30 11:00:00,75.66,1,0.946,HIGH,True,90,2025-05-30 09:30:00,7500,7500,0.85
255.0,2025-05-30 11:00:00,154.44,2,0.93,HIGH,True,90,2025-05-30 09:30:00,15000,7500,0.85
301.0,2025-05-30 11:00:00,152.17,2,0.902,HIGH,True,90,2025-05-30 09:30:00,15000,7500,0.85
302.0,2025-05-30 11:00:00,79.1,1,0.989,HIGH,True,90,2025-05-30 09:30:00,7500,7500,0.85
308.0,2025-05-30 11:00:00,155.18,2,0.94,HIGH,True,90,2025-05-30 09:30:00,15000,7500,0.85
332.0,2025-05-30 11:00:00,148.41,2,0.855,HIGH,True,90,2025-05-30 09:30:00,15000,7500,0.85
351.0,2025-05-30 11:00:00,76.36,1,0.955,HIGH,True,90,2025-05-30 09:30:00,7500,7500,0.85
355.0,2025-05-30 11:00:00,147.81,2,0.848,HIGH,True,90,2025-05-30 09:30:00,15000,7500,0.85
356.0,2025-05-30 11:00:00,156.98,2,0.962,HIGH,True,90,2025-05-30 09:30:00,15000,7500,0.85
357.0,2025-05-30 11:00:00,75.06,1,0.938,HIGH,True,90,2025-05-30 09:30:00,7500,7500,0.85
360.0,2025-05-30 11:00:00,151.55,2,0.894,HIGH,True,90,2025-05-30 09:30:00,15000,7500,0.85
366.0,2025-05-30 11:00:00,78.47,1,0.981,HIGH,True,90,2025-05-30 09:30:00,7500,7500,0.85
